artist,song,lyrics
Bryson Tiller,Don't,"You gotta motherfuckin' feel this shit, boy (BanBwoi) Woah  I got feelings for you Hope you ain't lovin' the crew How many bodies you got? Pray it ain't more than a few Know that you dealt with some lames When you was young and in school He had to pop your cherry But I got it wet like a pool  She got a new G-Wag' She wanna hit Highlight Room and show it off Got a new body, girl, show it off This a Brazilian, I know it's soft Toned up and she got a six-pack Look like she used to play volleyball  American Express, you can have it all Code to the safe, you can have it all Fuck your main page, what's your Finsta? I wanna know the real you You started dancin' to pay your tuition, girl, I wanna know what you been through You want a boutique or you wanna sell hair, just let me know what you into If you out in public and he want your number, just tell him, ""My nigga'll spin you"" ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
The Killers,Mr. Brightside,"What makes a grown man wanna cry? (Cry, cry, cry, cry) What makes him wanna take his life? Ah, ah (yeah) His happiness is never real (Real, real, real, real) And mindless sex is how he feels, ooh, he heals  When it's time, when it's time, when it's time It won't matter (it don't matter) It won't matter (matter) When it's time, when it's time, when it's time (time, it's time, babe) It won't matter (it won't matter, babe) It won't matter (ya)  It was like he was never there (it was like he was never there) It was like he was gone in thin air (oh) When it's time, when it's time, when it's time, oh, baby It won't matter (it won't matter, baby) It won't matter ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Kendrick Lamar, Zacari",LOVE. FEAT. ZACARI.,"Él te ama, te adora, lo da todo por ti Pero tú ere' una diabla que está loca por mí A ti te gusta lo malo, irte a fuego conmigo, eh-eh El pelo te jalo, estoy que te bendigo Aunque tú ere' pecado, eh, voy pa'l infierno si sigo Detrá' de ese culote, ya voy de camino  Hoy yo voy a buscarte despué' de la' doce Ya te quiero comer y repetir toa' la' pose' Hay que disimular y hacer que no me conoce' Pasa el día con él, yo soy tu gato de noche  Hoy yo voy a buscarte despué' de la' doce Ya te quiero comer y repetir toa' la' pose' Hay que disimular y hacer que no me conoce' Pasa el día con él, yo soy tu gato de noche  Canto 'e bellaca, ese toto vo'a martillarte (jajajajaja) En el Can-Am voy a buscarte (Real G) Ponte en cuatro, woman, que ese culo vo'a chuparte (plo, plo, plo) Loco por venirme, pero voy a esperar a que te venga' primero tú, sí (jajajaja)  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Drake, 21 Savage",Spin Bout U,"If you keep wondering If somebody understands Darling, I don't understand you If you stay awake at night Waiting for somebody right Baby, oh, your karma is due  Like, I would never hate you But only if you want to So much time, like who knew? (Like who knew?) Music we got into Songs we fell in love to Boy, this feels so wrong too (ah-ah-ah)  If we ever broke up, I'd never be sad Thinking 'bout everything that we had If we ever broke up If we ever broke up, I'd call your dad ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"The Weeknd, Gesaffelstein",I Was Never There,"All along it was a fever A cold sweat, hot-headed believer I threw my hands in the air, I said, ""Show me something"" He said, ""If you dare, come a little closer""  Round and around, and around, and around we go Oh, now, tell me now, tell me now, tell me now, you know  Not really sure how to feel about it Something in the way you move Makes me feel like I can't live without you It takes me all the way I want you to stay  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Ñengo Flow, Bad Bunny",Gato de Noche,"Dope shit like that Jerm Oh hi Welcome back to K.I.D.S Umm, follow your dreams Yeah!  Wanna get a mansion A jacuzzi, a theater to watch my movies A couple whips and lots of fancy things The kids they call the Goonies I see the future, crystal ball Mirror, mirror hangin' on the wall Who the flyest white boy of them dem all? Got your girlfriend screenin' all the calls  She bubblin', we fuckin' then you cuddlin' Like baby where the fuck you been? Don't wanna tell you she in love with him So, so, we ain't sayin' nothing You could probably tell she bluffin' 'Cause she kiss you with the mouth She gave me head with my concussion  Yeah she blushin', all red ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Mae Stephens,If We Ever Broke Up,"Throw it, throw it up Watch it all fall out Pour it up, pour it up That's how we ball out Throw it up, throw it up Watch it all fall out Pour it up, pour it up That's how we ball out  Strip clubs and dollar bills I still got mo' money Patron shots, can I get a refill I still got mo' money Strippers going up and down that pole And I still got mo' money Four o'clock and we aint going home 'Cause I still got mo' money Money make the world go around I still got mo' money Bands make your girl go down And I still got mo' money Lot more where dat came from I still got mo' money I look in your eyes, I know you want some And I still got mo' money  Oh ohh ohhh, ohhh oh oh oh All I see is signs ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Rihanna, Mikky Ekko",Stay,"All I know it's 10:35 And I can feel your arms around me Let 'em drown me All I know it's 10:35 And I'm thanking, thanking God you found me That you found me  Everyday, I go places in my head Darker thoughts are harder now They look like monsters under my bed And every time, it's like a rocket through my chest The TV make you think the whole world's about to end  I don't know where this night is goin' (goin') But I know that you and me got somethin' (somethin') So many things that I'm afraid of (afraid of) But right now I ain't scared of nothin' ('Cause all I know is) (All I know is, all I, all I)  'Cause all I know it's 10:35 And I can feel your arms around me Let 'em drown me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Mac Miller,The Spins,"Nobody pray for me It been that day for me Way (yeah, yeah!)  Ayy, I remember syrup sandwiches and crime allowances Finesse a nigga with some counterfeits, but now I'm countin' this Parmesan where my accountant lives; in fact, I'm downin' this D'USSÉ with my boo bae tastes like Kool-Aid for the analysts  Girl, I can buy yo' ass the world with my paystub Ooh, that pussy good, won't you sit it on my taste buds? I get way too petty once you let me do the extras Pull up on your block, then break it down, we playin' Tetris  A.m. to the p.m., p.m. to the a.m., funk Piss out your per diem, you just gotta hate 'em, funk If I quit your BM, I still ride Mercedes, funk If I quit this season, I still be the greatest, funk  My left stroke just went viral Right stroke put lil' baby in a spiral Soprano C, we like to keep it on a high note It's levels to it, you and I know  Bitch, be humble (hol' up, bitch) Sit down (hol' up, lil', hol' up, lil' bitch) Be humble (hol' up, bitch) Sit down (hol' up, sit down, lil', sit down, lil' bitch) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Pour It Up,I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  Do what you want ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
"Tiësto, Tate McRae",10:35,"We're gonna skate to one song and one song only (Ball so hard, motherfuckers wanna fine me)  So I ball so hard, motherfuckers wanna fine me But first niggas gotta find me What's fifty grand to a motherfucker like me? Can you please remind me? Ball so hard, this shit crazy Y'all don't know that don't shit faze me The Nets could go 0 for 82 And I look at you like this shit gravy  Ball so hard, this shit weird We ain't even 'posed to be here Ball so hard, but since we here It's only right that we'd be fair Psycho, I'm liable To go Michael, take your pick Jackson, Tyson, Jordan, Game 6  Ball so hard, got a broke clock Rollies that don't tick-tock Audemars that's losing time Hidden behind all these big rocks B-Ball so hard, I'm shocked too I'm supposed to be locked up too You escaped what I escaped You'd be in Paris getting fucked up too  B-Ball so hard, let's get faded Le Meurice for like six days Gold bottles, scold models Spillin' Ace on my sick J's B-Ball so hard, bitch, behave Just might let you meet 'Ye Chi-Towns, D. Rose I'm moving the Nets, BK  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kendrick Lamar,HUMBLE.,"Talk to me  I don't want to let you down, I don't want to let you down  I don't want to let you down, I don't want to let you down  You see how we living, yeah I'm tryna keep it as simple as possible You know what I do  Get you Gucci on sight, yeah, Rollies on ice, yeah Get first class flights, yeah, ride it like a bike, yeah Get a brand new Wag, ayy, be quiet, don't brag, hey Never pump gas, hey, nigga, keep it on task, yeah  Peelin' off, flex, hey, keep it on track, hey Fussin' and fightin', yeah, f- all night, ayy Gotta make it count, yeah, love it when it bounce, yeah Girl, that's tight, yeah, you do whatever you like, yeah Gucci on sight, yeah, Rollie on ice, yeah Take my advice, ayy, live a better life  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Childish Gambino,Me and Your Mama,"No funcionamos (no funcionamos) Lo dimo' todo, pero no se nos dio (no) Por eso nos vamos (nos vamos) Pero antes de irnos  Vamo' a hacerlo por última vez, bebé (bebé) Que en el amor no, pero en la cama nos entendemos (oh) Es una porno, a mí me encanta cómo lo hacemos No borraré tu contacto y estoy al tanto por si volvemos Pero así no (ey)  Por la horillita se me cuida (ey) Pero llama cuando quiere que te deje la cama distendida Lo' bellaqueo no se olvidan (no se olvidan) A nadie de confianza se le niega un polvo de despedida, ey  Yo 'toy puesta pa'l repeat Tú pon la cama, que yo pongo el cripy (cripy) Ahora a varear en la playa en RD, Punta Cana (ah) En la ventana mirando la city  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"JAY-Z, Kanye West",Ni**as In Paris,"Bijan 4 The 1 Time Metro Boomin want some more, nigga! (hey)  Going to the jeweler, bust the AP, yeah Slide on the water like a jet-ski, yeah (woo, slide) I'm tryna fuck you and your bestie, yeah (hey) Chopper with the scope, so do not test me, yeah Ric Flair drip, go ""woo"" on a bitch (woo) 57-90, split the coupe on my wrist (ice) Multi-million dollar, I'm a fool with the hits (ayy) Hop up in the Lamb' and drop the roof, show the tits (skrrt)  Popping, but you really not gon' shoot (pop) 90 pointers down, my diamonds look like hula-hoops (90) Hopping in my Bentayga, and her seat is a masseuse (hey) Balenciaga, check my posture, Valentino boots (ooh-ooh) It's the Boominati way, a lotta Lamb's, a lotta Wraiths (Boominati) Never hesitate to give a nigga yellow tape (grrt) Ain't worried 'bout the bag, 'cause the cash accumulating (bags) Soon as we came in the game, all these niggas, they imitate it (hey) Put my mind on it, then I put my grind on it (grind) Put that iron on him if a nigga my opponent (iron) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Future,Solo,"I said, ""Girl, why you keep callin'?"" I said, ""Girl, why you keep callin'?"", yeah She said, ""I need a new whip"", yeah ""'Cause I know that you still ballin'"" She just wanna go back to the future, so I brought that girl a DeLorean 20 more minutes until I gotta go, so I told that girl I'm gonna slaughter it  I met that girl right up at my show Left her man in the crowd on the floor Out of town never saw her before Told her, ""Baby, we don't got that long"" Listen, this not my city show But, I treat it like my city show 20 more minutes until I'm on, 20 more minutes until I'm on 20 more minutes until I'm on, 20 more minutes until I'm on 20 more minutes until I'm on, 20 more minutes until I'm on Yeah, I am not slow These girls just want me 'cause I got the dough Pass that girl right on my friend, give and go (what?) He pass me her friend, so they switchin' roles (yeah, yeah)  I hit it fast (fast), yeah, I hit it slow (slow) But by the mornin', girl, I gotta go (yeah) Gotta get ready, tonight is my show If you okay, you might open my show Got the big pointers right under my nose These niggas mad 'cause I got all the dough These niggas mad 'cause I got all the dough (yeah) Changin' my style 'cause I got every flow (what?) Got every girl, ain't no toppin' my hoes (yeah) I understand that is your girlfriend, bro But, you know I gotta keep her close ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"KAROL G, Romeo Santos",X SI VOLVEMOS,"Enviyon on the mix  No, no, no, no No, no, no, no, no, no, no, no, no, no No, no, no, no  I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you, so I must replace you, oh Easier said than done, I thought you were the one Listenin' to my heart instead of my head You found another one, but I am the better one I won't let you forget me  I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you, so I must replace you, oh Easier said than done, I thought you were the one Listenin' to my heart instead of my head You found another one, but I am the better one I won't let you forget me  You left me falling and landing inside my grave I know that you want me dead I take prescriptions to make me feel a-okay ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),"Gimme, gimme, gimme some time to think I'm in the bathroom, looking at me Face in the mirror is all I need (ooh-ooh) Wait until the reaper takes my life Never gonna get me out alive I will live a thousand million lives (ooh-ooh)  My patience is waning, is this entertaining? Our patience is waning, is this entertaining?  I-I-I got this feeling, yeah, you know Where I'm losing all control 'Cause there's magic in my bones I-I-I got this feeling in my soul Go ahead and throw your stones 'Cause there's magic in my bones  Playing with the stick of dynamite There was never gray in black and white There was never wrong 'til there was right (ooh-ooh) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lil Uzi Vert,20 Min,"Love, let's talk about love Is it anything and everything you hoped for? Or do the feeling haunt you? I know the feeling haunt you  This may be the night that my dreams might let me know All the stars are closer All the stars are closer All the stars are closer  This may be the night that my dreams might let me know All the stars are closer All the stars are closer All the stars are closer  Tell me what you gon' do to me Confrontation ain't nothin' new to me You can bring a bullet, bring a sword Bring a morgue, but you can't bring the truth to me  Fuck you and all your expectations I don't even want your congratulations I recognize your false confidence And calculated promises all in your conversation  I hate people that feel entitled Look at me crazy 'cause I ain't invite you ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Juice WRLD,Lucid Dreams,"Same bed but it feels just a little bit bigger now Our song on the radio but it don't sound the same When our friends talk about you All it does is just tear me down 'Cause my heart breaks a little When I hear your name  It all just sounds like ooh-ooh, ooh-ooh Mmm, too young, too dumb to realize  That I should've bought you flowers And held your hand Should've gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancing But she's dancing with another man ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Imagine Dragons,Bones,"I gotta feed the streets, my pistol gon' bleed the streets Ski mask on my face, sometimes you got to cheat To stay ahead in this bitch-ard (gang), drank syrup like it's liquor Street life'll have you catchin' up to God quicker (yeah, gang) Sticker, AK-40 to your liver Let the chopper bang on you like a Blood or a Cripper (gang) Flipper, so much bread, I'm a gymnast Made so much money off of dummies, off of dummies (yeah, gang)  I'm mister body catcher, Slaughter Gang soul snatcher Ain't no regular F-150, this a fuckin' Raptor No capper, street nigga, not a rapper Chopper hit him and he turned into a booty clapper Smith & Wesson, I'm 4L Gang reppin' We done baptized more niggas than the damn reverend (yeah) Kappa Alpha, me and my gang, we do all the steppin' Who you checkin'? This FN shoot East to West End (gang)  Yeah I heard Papi outside And he got the double-R droppy outside Checked the weather and it's gettin' real oppy outside I'ma drop this shit and have these pussies droppin' like some motherfuckin' flies Type of nigga that can't look me in the eyes I despise ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Kendrick Lamar, SZA",All The Stars (with SZA),"I was lost You found a way to bring me back Needed forgiveness You always gave me that Girl, I'm a witness of your love 'Cause you don't be giving up And it's crazy How you saved me Hand on the Bible Don't know how I got you But I couldn't ask for more Girl, what we got's worth thanking God for  So, thank God I get to wake up by your side And thank God Your hand fits perfectly in mine And thank God You loved me when you didn't have to But you did and you do, and he knew Thank God for giving me you Thank God Thank God for giving me you ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Bruno Mars,When I Was Your Man,Welcome to your life There's no turning back Even while we sleep We will find you  Acting on your best behaviour Turn your back on Mother Nature Everybody wants to rule the world  It's my own design It's my own remorse Help me to decide ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),"G5 the flight, man, I'm way in the sky She finna tell me ""No way"" and it's cap N-, can't even see me, I'm way in the sky G5 the flight, n- way in the sky G5 the flight, man, I'm way outta here  G5 the flight, n-, can't even see me I'm way outta here, I'm too far in the sky Hermès ashtray to dump my ashes B- so pretty, look better than Cassie Puffiin' on zooties and she callin' me daddy Walkin' on sh-, turn it up and not gas it Came out the gutter, it ain't nothin' for me to swag it Secure the bag, got a b-, I'ma bag it  Turnin' it up, gotta make sure sh- good Park it, two mil' in the middle of my hood Drinkin' on mud, I made it out of the sewer Chrome Heart accessories, whatever, I'm good Lot of these n-, they lookin' the same They copy my lingo, they bitin' my chain Championship, championship, Range just gon' amp this sh- B- break her neck just to look at the kid  Dirty the Fanta but make it in Canada Bro get this money like it's my religion It's gon' be a mad day, a sad day for any of these n- That try to compare whatever I did Damn near touched a hundred, it just off the gig I came out the jungle, they kidnapped a kid I trap out a bando, spent ten on a crib I look at the ocean to spot 30 M's ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Kane Brown, Katelyn Brown",Thank God,"You're the only power (Power) You're the only power that can You're the only power (Power) You're the only power that can Fa (Fa), fa (Fa), fa (Fa) Father  If young Metro don't trust you I'm gon' shoot you  Beautiful morning, you're the sun in my morning babe Nothing unwanted Beautiful morning, you're the sun in my morning babe Nothing unwanted  I just wanna feel liberated, I, I, I ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Lizzo, SZA",Special (feat. SZA),"I been out, late night creepin', should I slide on bitches? Posted up with the militia Niggas ain't switchin', mind on missions Mind on pussy and millions, mind on pussy and millions I'm tryna call a sex symbol to eat my kids up They say more money, more problems (will) Bring on the problems (will) Bring on the problems (will) Bring on the motherfuckin' problems They say more money, more problems Bring on the problems Bring on the problems Bring on the motherfuckin' problems, ayy  Braided up and my two weeks up Hit 'em then I get amnesia Life ain't gettin' any easier Flocka, Flockasita I know that I'm not in love, she don't love me either It's just hard to find the love, this shit keep on gettin' deeper Who said it's cheaper to keep her? I'd rather release her Body ain't give her the wave like a feature You know the procedure Niggas is praying to God so we stay with the sweeper I'm reppin' 4L with my twinny, so treacherous introduce y'all to the leader  Come to me with all the smoke I like the money, for sure But I love the hustle the most She pretty, she show off her toes And my Pateks, they came with a pole Know this money bring envy and jealousy I'm like: ""Fuck it, I want me some more"" ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Tears For Fears,Everybody Wants To Rule The World,"Break 'em!  Shit! Yo! Yeah!  Just wakin' up in the mornin', gotta thank God I don't know but today seems kinda odd No barkin' from the dog, no smog And momma cooked a breakfast with no hog I got my grub on, but didn't pig out Finally, got a call from a girl I wanna dig out Hooked it up fo' later as I hit the do' Thinkin', ""Will I live another 24'?""  I gotta go 'cause I got me a drop top And if I hit the switch, I can make the ass drop Had to stop, at a red light Lookin' in my mirror, not a jacker in sight  And everything is alright I got a beep from Kim, and she can fuck all night Called up the homies, and I'm askin' y'all Which park, are y'all playin' basketball? Get me on the court and I'm trouble Last week fucked around and got a triple-double ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"$uicideboy$, Shakewell",Big Shot Cream Soda,"Rain, he wanted it comfortable I wanted that pain He wanted a bride I was making my own name Chasing that fame He stayed the same All of me changed like midnight  My town was a wasteland Full of cages, full of fences Pageant queens and big pretenders But for some, it was paradise  My boy was a montage A slow-motion, love potion Jumping off things in the ocean I broke his heart 'cause he was nice  He was sunshine, I was midnight rain He wanted it comfortable I wanted that pain He wanted a bride ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Future,PUFFIN ON ZOOTIEZ,"You good, T-Minus?  Niggas been countin' me out I'm countin' my bullets, I'm loadin' my clips I'm writin' down names, I'm makin' a list I'm checkin' it twice and I'm gettin' 'em hit The real ones been dyin', the fake ones is lit The game is off balance, I'm back on my shit The Bentley is dirty, my sneakers is dirty But that's how I like it, you all on my dick  I'm all in my bag, this hard as it get I do not snort powder, I might take a sip I might hit the blunt, but I'm liable to trip I ain't poppin' no pill, but you do as you wish I roll with some fiends, I love 'em to death I got a few mil' but not all of them rich What good is the bread if my niggas is broke? What good is first class if my niggas can't sit?  That's my next mission, that's why I can't quit Just like LeBron, get my niggas more chips Just put the Rollie right back on my wrist This watch came from Drizzy, he gave me a gift Back when the rap game was prayin' I'd diss They act like two legends cannot coexist But I'd never beef with a nigga for nothin' If I smoke a rapper, it's gon' be legit  It won't be for clout, it won't be for fame It won't be 'cause my shit ain't sellin' the same It won't be to sell you my latest lil' sneakers ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kanye West,Father Stretch My Hands Pt. 1,"5:34 a.m., I was about to start my day But she layin' there across me, so I stayed anyway Arms tied, legs numb, wrapped around my knee Sweetest of the sunflowers, yeah, you're the sun to me  I don't recall what you were wearin' on the first night we met Besides the subtle cloud around you from my last cigarette And you come from a good place with a happy family The only bad you've ever done was to see the good in me  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Drake, 21 Savage, Travis Scott",Pussy & Millions (feat. Travis Scott),
Ice Cube,It Was A Good Day,"Late night telephone Calling all the wallflowers I know Out the dark and into the light  Half love, half regret Dressing up for polaroids and cigarettes Socialize, romanticize the life  Floating on my lowkey vibe Floating on my lowkey vibe I don't need that late night high I'm floating on my lowkey vibe  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Taylor Swift,Midnight Rain,Y por todo el boulevard Con mi compa flaco arremangado Unos huaraches mi gorra de lao' Por la zapata el gordo trae el mando Tirando linea con Many y el Caña A la orden pal desorden conectado  Y mi retén Acapulco y si hay pedo los sepulto Y aquí no andamos haciendo bulto al chingazo los resultó Y una glocksona que va conmigo ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
J. Cole,MIDDLE CHILD,"Never need a bitch, I'm what a bitch need (Bitch need) Tryna find the one that can fix me I've been dodgin' death in the six speed Amphetamine got my stummy feelin' sickly  Yeah, I want it all now I've been runnin' through the pussy, need a dog pound Hundred models gettin' faded in the compound Tryna love me, but they never get a pulse down  Why? 'Cause I'm heartless And I'm back to my ways 'cause I'm heartless All this money and this pain got me heartless Low life for life 'cause I'm heartless  Said I'm heartless Tryna be a better man, but I'm heartless Never be a weddin' plan for the heartless Low life for life 'cause I'm heartless  Said I'm heartless ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Zach Bryan,Sun to Me,"Georgia, wrap me up in all your- I want you in my arms Oh, let me hold you I'll never let you go again like I did Oh, I used to say  ""I would never fall in love again until I found her"" I said, ""I would never fall unless it's you I fall into"" I was lost within the darkness, but then I found her ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Eminem,Mockingbird,"Lift me up Hold me down  Keep me close Safe and sound  Burning in a hopeless dream Hold me when you go to sleep Keep me in the warmth of your love When you depart, keep me safe Safe and sound  Lift me up Hold me down ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Beach Weather,"Sex, Drugs, Etc.",Those innocent eyes That smile on your face Makes it easy to trust you If they only knew The girl with the tattoo Like I do  Doing what you're doing ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Chino Pacas,El Gordo Trae El Mando,P-P-P-P-P-PARTY That smile on your face Makes it easy to trust you Those in (yeah) Those in (yeah) Those in (yeah)  This what 'Sauga feels like in the night time Watch what she doin' when the light shine Drunk niggas tryin' a talk in the strip club Shawty silhouette look like a dollar sign C-Caught up (caught up) That's just how a nigga brought up (brought up) Blow ones for you loony ass niggas (ass niggas) Straight bills for you Toonie ass niggas (ass niggas) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
The Weeknd,Heartless,"Love's gonna get you killed But pride's gonna be the death of you, and you and me And you, and you, and you and me And you, and you, and you and me And you, and you, and you and me, and-  Me, I wasn't taught to share, but care In another life, I surely was there Me, I wasn't taught to share, but care I care, I care  Hell-raising, wheel-chasing, new worldy possessions Flesh-making, spirit-breaking, which one would you lessen? The better part, the human heart You love 'em or dissect 'em Happiness or flashiness? How do you serve the question? See, in the perfect world, I would be perfect, world I don't trust people enough beyond they surface, world I don't love people enough to put my faith in man I put my faith in these lyrics hoping I make a band  I understand I ain't perfect I probably won't come around ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Stephen Sanchez,Until I Found You,"That shit definitely go Gotta get it how you live Everybody talking 'bout R&B shit I'm just talking me shit You know what I mean? Let me hear that  I gave it all for a fantasy Is anybody gon' remember me? If I go tonight, I doubt the world would change I just pray they don't forget my name Is it game rules? I can't lose When it's all said and done, will I still be cool?  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,"I've been everywhere, man, looking for someone Someone who can please me Love me all night long I've been everywhere, man, looking for you, babe Looking for you, babe Searching for you, babe  Where have you been? 'Cause I never see you out Are you hiding from me, yeah? Somewhere in the crowd  Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah  Where have you been? All my life, all my life Where have you been all my life? Where have you been all my life? Where have you been all my life? ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Miguel,Girl With The Tattoo Enter.lewd,"Six Yeah Yeah Yeah  Leave me out the comments, leave me out the nonsense Speakin' out of context, people need some content Niggas tryna keep up, shit is not a contest Whippin' Benz concept, Heaven-sent, God-sent Least that's what my mom says Proof is in the progress, money's not a object Busy than a motherfucker, you know how my job get Barkin' up the wrong tree, you know how the dogs get Haven't fallen off yet, yee  Come with a classic, they come around years later and say it's a sleeper The earrings are real, the petty is real, might charge my ex for a feature Deposit the money to Brenda, LaTisha or Linda, Felicia She came for me twice, I didn't even nut for her once, you know I'm a pleaser 42 millimeter, was made in Geneva Yeah, I probably should go to Yeshiva, we went to Ibiza Yeah, I probably should go link with Yeezy, I need me some Jesus But soon as I started confessin' my sins, he wouldn't believe us  Sins, I got sins on my mind ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
PARTYNEXTDOOR,Break from Toronto,"I wanna take you somewhere so you know I care But it's so cold, and I don't know where I brought you daffodils in a pretty string But they won't flower like they did last spring  And I wanna kiss you, make you feel alright I'm just so tired to share my nights I wanna cry and I wanna love But all my tears have been used up  On another love, another love All my tears have been used up On another love, another love All my tears have been used up On another love, another love All my tears have been used up ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kendrick Lamar,PRIDE.,"Ay, ay, compa Junior Con esta pieza me dan ganas de echarme un shot Nomás no se me agüite, compa Óscar Ay, ay, ay Ahí le va, mija  Te compré las flores más bonitas en el antro Traigo una .40, por si te la tira un gato El dinero que yo traigo, mija, es pa gastarlo No como los gatos que te siguen ahí rogando  Súbete a la troca, vamos a la playa A mí no me importa si ya es noche o madrugada No me des excusas, no me des pendientes Somos dos personas que conectan con la mente  En una te llamo, en dos voy llegando En tres nos besamos y en cuatro te pongo el saldo ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Brent Faiyaz,Clouded,"Hace mucho tiempo le hago caso al corazón Y pasan los día', los mese' pensando en tu olor Ha llegado el tiempo para usar la razón Ante' que sea tarde y sin querer me parta en do'  Antes de que salga el sol y hunda el acelerador Que vaya sin frenos y pierda el control Nada más seremos do', tú y yo acariciándono' En medio del tiempo, sin decir adiós  Y solo mírame con esos ojito' lindo' Que con eso yo estoy bien Hoy he vuelto a nacer  Hacе tiempo que no agarro a nadie de la mano Hace tiempo que no envío: ""Buenos días, te amo""  Pero tú me tiene' enredao, me envolví Iba por mi camino y me perdí Mi mirada cambió cuando tus ojos vi Bye-bye a los culo', ni me despedí  Yo no te busqué, no Chocamo' en el trayecto Con tu alma es la que yo conecto Tranquila, no tiene que ser perfecto, no  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Where Have You Been,"Daylight I wake up feeling like you won't play right I used to know, but now that shit don't feel right It made me put away my pride  So long You made a nigga wait for some, so long You make it hard for a boy like that to go wrong I'm wishing I could make this mine, oh  If you want it, yeah You can have it, oh, oh, oh If you need it, ooh We can make it, oh If you want it You can have it  But stay woke Niggas creepin' They gon' find you Gon' catch you sleepin', ooh Now stay woke ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),"I just need someone in my life to give it structure To handle all the selfish ways I'd spend my time without her You're everything I want, but I can't deal with all your lovers You're saying I'm the one, but it's your actions that speak louder Giving me love when you are down and need another I've gotta get away and let you go, I've gotta get over  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
